                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.0238,                 1.2838,                 1.3813,                 1.1239,                 1.4954,                 1.3982,                0.73254,                0.67565,                0.74409,                0.54162,                0.98293,                0.97085,                 1.3208,                  1.051,                 1.0798,                 1.3418,               0.008317,               0.008317,               0.008317
                     88,                 1.0251,                 1.2761,                 1.3834,                 1.1227,                 1.4916,                 1.3981,                0.73358,                0.67681,                0.74473,                0.54206,                0.98239,                0.96944,                   1.32,                 1.0504,                 1.0776,                 1.3418,              0.0082972,              0.0082972,              0.0082972
                     89,                  1.027,                 1.2767,                 1.3829,                 1.1298,                  1.492,                 1.4015,                0.73047,                0.67886,                0.74499,                0.54237,                0.98176,                0.96814,                 1.3192,                 1.0496,                 1.0773,                 1.3408,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.0263,                 1.2842,                 1.3783,                 1.1254,                 1.4953,                 1.3931,                0.73201,                 0.6778,                0.74548,                0.54281,                0.98107,                0.96661,                 1.3181,                 1.0492,                 1.0758,                 1.3397,              0.0082576,              0.0082576,              0.0082576
                     91,                  1.021,                 1.2677,                 1.3803,                 1.1232,                 1.4788,                  1.397,                0.73397,                0.67753,                0.74607,                0.54323,                 0.9806,                0.96493,                 1.3175,                 1.0479,                 1.0752,                 1.3384,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.0193,                 1.2668,                 1.3785,                 1.1221,                 1.4799,                 1.3964,                0.74082,                0.67298,                0.74691,                0.54388,                0.97996,                0.96335,                 1.3167,                 1.0476,                 1.0738,                 1.3385,               0.008218,               0.008218,               0.008218
                     93,                 1.0169,                 1.2612,                 1.3728,                 1.1184,                 1.4734,                 1.3896,                0.74804,                 0.6698,                0.74732,                0.54436,                0.97947,                0.96155,                  1.316,                 1.0465,                 1.0727,                 1.3375,              0.0081982,              0.0081982,              0.0081982
                     94,                 1.0199,                 1.2671,                 1.3755,                 1.1197,                 1.4772,                 1.3884,                0.75119,                0.67053,                0.74777,                0.54485,                 0.9791,                   0.96,                 1.3155,                 1.0456,                 1.0722,                 1.3365,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.0199,                 1.2659,                 1.3736,                 1.1216,                 1.4765,                 1.3895,                0.75305,                0.66824,                0.74846,                0.54554,                0.97863,                0.95851,                 1.3148,                 1.0445,                 1.0717,                 1.3355,              0.0081586,              0.0081586,              0.0081586
                     96,                 1.0142,                 1.2574,                 1.3719,                 1.1146,                 1.4716,                  1.386,                0.74616,                0.67191,                0.74832,                0.54582,                0.97814,                0.95724,                 1.3141,                 1.0438,                 1.0703,                 1.3354,              0.0081388,              0.0081388,              0.0081388
                     97,                 1.0181,                 1.2597,                 1.3724,                 1.1195,                  1.468,                 1.3865,                0.74443,                0.67671,                0.74903,                0.54671,                 0.9775,                  0.956,                 1.3132,                 1.0433,                 1.0686,                 1.3349,               0.008119,               0.008119,               0.008119
                     98,                 1.0133,                 1.2505,                 1.3689,                 1.1137,                 1.4654,                 1.3842,                0.74467,                0.67564,                0.74974,                0.54747,                0.97687,                0.95452,                 1.3123,                 1.0414,                 1.0689,                 1.3339,              0.0080992,              0.0080992,              0.0080992
                     99,                  1.012,                 1.2412,                 1.3675,                 1.1129,                  1.449,                  1.383,                0.75043,                 0.6743,                0.75016,                0.54802,                0.97633,                  0.953,                 1.3117,                 1.0405,                 1.0679,                 1.3327,              0.0080794,              0.0080794,              0.0080794
